BeginAnalysis,,
_AnalysisName," ""Run101620-1_Material X_Analysis 94623.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,0.91,"  ""N"""
AvgNPeaks,2.23,"  ""N"""
PeakLoad,2.58,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0,
0,0,
0,0,
0,0,
0,0,
0,0.001,
0,0.009,
0,0.036,
0,0.072,
0.02,0.124,
0.06,0.189,
0.04,0.264,
0.02,0.352,
0.03,0.452,
0.03,0.558,
0.02,0.659,
0.01,0.761,
0.01,0.863,
0.01,0.964,
0.01,1.066,
0.01,1.168,
0.02,1.268,
0.02,1.371,
0.02,1.473,
0.02,1.574,
0.02,1.676,
0.03,1.777,
0.03,1.879,
0.03,1.981,
0.04,2.082,
0.04,2.183,
0.05,2.286,
0.06,2.387,
0.07,2.489,
0.08,2.591,
0.08,2.692,
0.09,2.794,
0.11,2.896,
0.12,2.997,
0.13,3.099,
0.14,3.201,
0.16,3.302,
0.18,3.404,
0.2,3.506,
0.22,3.607,
0.24,3.709,
0.26,3.81,
0.27,3.912,
0.28,4.015,
0.29,4.115,
0.31,4.217,
0.35,4.319,
0.38,4.42,
0.42,4.523,
0.46,4.624,
0.5,4.725,
0.54,4.828,
0.57,4.929,
0.58,5.03,
0.58,5.133,
0.6,5.234,
0.62,5.336,
0.6,5.438,
0.55,5.539,
0.47,5.64,
0.43,5.743,
0.44,5.844,
0.47,5.946,
0.48,6.048,
0.49,6.148,
0.5,6.25,
0.52,6.352,
0.54,6.454,
0.55,6.556,
0.53,6.658,
0.45,6.759,
0.37,6.861,
0.35,6.962,
0.37,7.064,
0.36,7.166,
0.35,7.267,
0.35,7.368,
0.37,7.471,
0.39,7.572,
0.4,7.674,
0.41,7.776,
0.4,7.877,
0.41,7.979,
0.44,8.081,
0.42,8.182,
0.36,8.284,
0.36,8.386,
0.39,8.487,
0.41,8.589,
0.4,8.691,
0.38,8.792,
0.37,8.894,
0.38,8.995,
0.39,9.097,
0.39,9.2,
0.38,9.3,
0.4,9.402,
0.43,9.504,
0.46,9.605,
0.49,9.707,
0.53,9.809,
0.54,9.91,
0.52,10.013,
0.53,10.114,
0.56,10.215,
0.57,10.318,
0.57,10.418,
0.54,10.521,
0.5,10.623,
0.47,10.724,
0.44,10.825,
0.44,10.928,
0.45,11.028,
0.45,11.131,
0.46,11.233,
0.49,11.333,
0.52,11.436,
0.54,11.537,
0.57,11.639,
0.58,11.741,
0.59,11.842,
0.61,11.944,
0.62,12.046,
0.63,12.147,
0.66,12.249,
0.69,12.351,
0.72,12.452,
0.75,12.554,
0.75,12.656,
0.73,12.757,
0.74,12.859,
0.76,12.961,
0.76,13.062,
0.77,13.164,
0.79,13.265,
0.81,13.367,
0.86,13.469,
0.9,13.571,
0.93,13.672,
0.96,13.774,
1,13.875,
1.04,13.977,
1.09,14.079,
1.15,14.18,
1.19,14.282,
1.07,14.385,
0.82,14.485,
0.72,14.587,
0.74,14.689,
0.79,14.79,
0.84,14.893,
0.88,14.994,
0.89,15.095,
0.91,15.198,
0.96,15.299,
0.97,15.4,
0.97,15.503,
0.95,15.603,
0.89,15.706,
0.88,15.808,
0.92,15.908,
0.98,16.01,
1.02,16.113,
1.04,16.213,
1.1,16.316,
1.17,16.418,
1.22,16.518,
1.21,16.621,
1.19,16.722,
1.24,16.824,
1.27,16.926,
1.25,17.027,
1.24,17.129,
1.26,17.231,
1.29,17.332,
1.34,17.434,
1.4,17.536,
