BeginAnalysis,,
_AnalysisName," ""Run101620-2_Material Y_Analysis 94624.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,1.07,"  ""N"""
AvgNPeaks,2.66,"  ""N"""
PeakLoad,3.04,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0.001,
0,0,
0,0,
0,0.001,
0,0.001,
0,0.001,
0,0.01,
0,0.038,
0,0.074,
0.03,0.127,
0.06,0.193,
0.04,0.269,
0.03,0.357,
0.03,0.458,
0.04,0.563,
0.03,0.664,
0.02,0.766,
0.03,0.868,
0.04,0.969,
0.04,1.071,
0.05,1.173,
0.05,1.274,
0.06,1.376,
0.07,1.478,
0.08,1.579,
0.09,1.681,
0.1,1.783,
0.1,1.884,
0.11,1.986,
0.12,2.088,
0.13,2.189,
0.14,2.292,
0.16,2.392,
0.17,2.494,
0.19,2.596,
0.21,2.697,
0.21,2.8,
0.23,2.901,
0.26,3.002,
0.28,3.104,
0.3,3.206,
0.29,3.307,
0.29,3.41,
0.31,3.511,
0.3,3.612,
0.32,3.714,
0.35,3.815,
0.38,3.917,
0.4,4.02,
0.41,4.121,
0.42,4.223,
0.44,4.325,
0.47,4.426,
0.49,4.528,
0.52,4.629,
0.54,4.731,
0.56,4.833,
0.59,4.934,
0.62,5.035,
0.64,5.138,
0.68,5.239,
0.7,5.341,
0.7,5.443,
0.7,5.544,
0.72,5.646,
0.76,5.748,
0.79,5.849,
0.79,5.951,
0.78,6.053,
0.79,6.154,
0.83,6.256,
0.87,6.358,
0.87,6.459,
0.86,6.561,
0.85,6.663,
0.82,6.764,
0.82,6.866,
0.86,6.967,
0.9,7.069,
0.92,7.171,
0.92,7.272,
0.92,7.374,
0.96,7.476,
1,7.577,
0.99,7.679,
0.98,7.781,
1.02,7.882,
1.05,7.985,
1.05,8.086,
1.05,8.187,
1.03,8.29,
1.03,8.391,
1.06,8.492,
1.11,8.595,
1.16,8.696,
1.2,8.798,
1.26,8.9,
1.31,9,
1.28,9.102,
1.21,9.205,
1.19,9.305,
1.18,9.408,
1.09,9.51,
1.05,9.611,
1.1,9.713,
1.13,9.814,
1.13,9.916,
1.16,10.018,
1.18,10.119,
1.19,10.221,
1.2,10.323,
1.24,10.424,
1.29,10.526,
1.33,10.628,
1.39,10.729,
1.44,10.831,
1.49,10.933,
1.48,11.034,
1.18,11.136,
0.92,11.238,
0.93,11.339,
0.99,11.441,
1.04,11.542,
1.07,11.644,
1.11,11.746,
1.17,11.848,
1.23,11.949,
1.28,12.051,
1.3,12.152,
1.31,12.254,
1.32,12.356,
1.38,12.457,
1.41,12.559,
1.4,12.661,
1.41,12.762,
1.46,12.864,
1.51,12.966,
1.56,13.067,
1.6,13.17,
1.61,13.271,
1.62,13.372,
1.65,13.475,
1.71,13.576,
1.76,13.677,
1.78,13.78,
1.76,13.881,
1.74,13.983,
1.73,14.084,
1.72,14.185,
1.71,14.287,
1.66,14.39,
1.63,14.491,
1.62,14.593,
1.66,14.694,
1.72,14.796,
1.74,14.898,
1.75,14.999,
1.76,15.101,
1.76,15.203,
1.75,15.304,
1.77,15.405,
1.8,15.508,
1.83,15.609,
1.9,15.711,
1.97,15.813,
1.99,15.914,
1.95,16.016,
1.92,16.118,
1.91,16.219,
1.85,16.321,
1.78,16.423,
1.75,16.523,
1.77,16.626,
1.81,16.728,
1.77,16.829,
1.71,16.931,
1.75,17.033,
1.85,17.134,
1.94,17.236,
2.03,17.337,
2.09,17.439,
